ulan_id,profession_type,count
http://vocab.getty.edu/aat/300386373,former administrative bodies,1
http://vocab.getty.edu/aat/300025985,foundations (organizations),124
http://vocab.getty.edu/aat/300112017,founders (originators),14
http://vocab.getty.edu/aat/300266773,foundries,4
http://vocab.getty.edu/aat/300386294,framemakers,2
http://vocab.getty.edu/aat/300266789,friars,4
http://vocab.getty.edu/aat/300386292,furniture designers,239
http://vocab.getty.edu/aat/300386289,furniture makers (people),175
http://vocab.getty.edu/aat/300386291,furniture manufactories,29
http://vocab.getty.edu/aat/300240057,galleries (display spaces),3
http://vocab.getty.edu/aat/300379169,gallerists,5
http://vocab.getty.edu/aat/300386168,garden designers,196
http://vocab.getty.edu/aat/300025614,gardeners,137
http://vocab.getty.edu/aat/300386655,gardens (institutions),6
http://vocab.getty.edu/aat/300265793,gem carvers,7
http://vocab.getty.edu/aat/300025053,general contractors,1
http://vocab.getty.edu/aat/300236762,generals,26
http://vocab.getty.edu/aat/300375128,gentlemen,25
http://vocab.getty.edu/aat/300375129,gentlewomen,68
http://vocab.getty.edu/aat/300025592,geographers,11
http://vocab.getty.edu/aat/300025799,geologists,5
http://vocab.getty.edu/aat/300025261,gilders,11
http://vocab.getty.edu/aat/300386223,glass designers,5
http://vocab.getty.edu/aat/300263758,glass painters,37
http://vocab.getty.edu/aat/300386225,glass stainers,2
http://vocab.getty.edu/aat/300025408,glassblowers,2
http://vocab.getty.edu/aat/300025285,glassmakers,20
http://vocab.getty.edu/aat/300312295,glassmaking studios (organizations),2
http://vocab.getty.edu/aat/300025283,glassworkers,31
http://vocab.getty.edu/aat/300025319,goldsmiths,139
http://vocab.getty.edu/aat/300386166,golf course architects,3
http://vocab.getty.edu/aat/300024989,government architects,17
http://vocab.getty.edu/aat/300113288,government employees,10
http://vocab.getty.edu/aat/300386363,governmental bodies,69
http://vocab.getty.edu/aat/300025465,governors,6
http://vocab.getty.edu/aat/300312066,graffiti artists,1
http://vocab.getty.edu/aat/300258639,grand duchesses,3
http://vocab.getty.edu/aat/300258609,grand dukes,1
http://vocab.getty.edu/aat/300264850,graphic artists,8
http://vocab.getty.edu/aat/300025119,graphic designers,49
http://vocab.getty.edu/aat/300386362,groups (organizations),89
http://vocab.getty.edu/aat/300386700,guide terms,1
http://vocab.getty.edu/aat/300025988,guilds,7
http://vocab.getty.edu/aat/300265038,gun-stockers,2
http://vocab.getty.edu/aat/300025335,gunsmiths,18
http://vocab.getty.edu/aat/300386304,harpsichord makers,1
http://vocab.getty.edu/aat/300236032,heralds,1
http://vocab.getty.edu/aat/300236808,heroines,2
http://vocab.getty.edu/aat/300025539,historians,146
http://vocab.getty.edu/aat/300386296,historical figures,10
http://vocab.getty.edu/aat/300112031,horticulturists,27
http://vocab.getty.edu/aat/300343473,"hospitals (institutions, health facility)",1
http://vocab.getty.edu/aat/300136476,housewives (people),1
http://vocab.getty.edu/aat/300236862,humanists (people),21
http://vocab.getty.edu/aat/300025073,hydraulic engineers,1
